County,Party,Votes by Party (2012),Percentage by Party (2012),Votes by County (2012),Percentage of NC Votes (2012),Votes by Party (2016),Percentage by Party (2016),Votes by County (2016),Percentage of NC Votes (2016)
HENDERSON,LIB,589,0.011278123504068932,52225,0.011622858117005738,1626,0.02839579476790891,57262,0.012230052799262207
HENDERSON,REP,32994,0.6317663954044997,52225,0.011622858117005738,35809,0.6253536376654675,57262,0.012230052799262207
HERTFORD,DEM,7843,0.7191454245369522,10906,0.002427168800843745,6910,0.6813251824097811,10142,0.002166134530580792
HERTFORD,LIB,56,0.005134788189987163,10906,0.002427168800843745,133,0.013113784263458883,10142,0.002166134530580792
HERTFORD,REP,3007,0.2757197872730607,10906,0.002427168800843745,3099,0.30556103332676,10142,0.002166134530580792
HOKE,DEM,10076,0.5905521040909624,17062,0.003797208333027322,9726,0.5384487626640093,18063,0.0038579065298640154
HOKE,LIB,167,0.009787832610479427,17062,0.003797208333027322,577,0.03194375242207828,18063,0.0038579065298640154
HOKE,REP,6819,0.3996600632985582,17062,0.003797208333027322,7760,0.42960748491391243,18063,0.0038579065298640154
HYDE,DEM,1163,0.48906644238856184,2378,0.0005292322949208165,965,0.420479302832244,2295,0.00049016749632054
HYDE,LIB,22,0.009251471825063078,2378,0.0005292322949208165,42,0.018300653594771243,2295,0.00049016749632054
HYDE,REP,1193,0.5016820857863751,2378,0.0005292322949208165,1288,0.5612200435729847,2295,0.00049016749632054
IREDELL,DEM,26076,0.3425553716402617,76122,0.01694121982925248,24734,0.3028418204302524,81673,0.017443769031367087
IREDELL,LIB,747,0.009813194608654529,76122,0.01694121982925248,2185,0.026753027316248942,81673,0.017443769031367087
IREDELL,REP,49299,0.6476314337510838,76122,0.01694121982925248,54754,0.6704051522534987,81673,0.017443769031367087
JACKSON,DEM,8095,0.4867708959711365,16630,0.003701065207961808,7713,0.42090040927694405,18325,0.003913864649269671
JACKSON,LIB,281,0.016897173782321105,16630,0.003701065207961808,742,0.04049113233287858,18325,0.003913864649269671
JACKSON,REP,8254,0.4963319302465424,16630,0.003701065207961808,9870,0.5386084583901773,18325,0.003913864649269671
JOHNSTON,DEM,27290,0.35680198731777474,76485,0.01702200676073114,28362,0.33335292250913834,85081,0.01817165174485746
JOHNSTON,LIB,768,0.01004118454598941,76485,0.01702200676073114,2347,0.027585477368625193,85081,0.01817165174485746
JOHNSTON,REP,48427,0.6331568281362359,76485,0.01702200676073114,54372,0.6390616001222365,85081,0.01817165174485746
JONES,DEM,2352,0.4504884121815744,5221,0.0011619519814052074,2065,0.4050608081600628,5098,0.0010888339417176964
JONES,LIB,32,0.0061290940432867265,5221,0.0011619519814052074,59,0.011573165947430365,5098,0.0010888339417176964
JONES,REP,2837,0.5433824937751388,5221,0.0011619519814052074,2974,0.5833660258925069,5098,0.0010888339417176964
LEE,DEM,10801,0.44661759841217336,24184,0.005382234575426841,10469,0.42103358133923185,24865,0.005310681828326897
LEE,LIB,225,0.009303671849156467,24184,0.005382234575426841,684,0.027508546149205712,24865,0.005310681828326897
LEE,REP,13158,0.5440787297386702,24184,0.005382234575426841,13712,0.5514578725115624,24865,0.005310681828326897
LENOIR,DEM,13948,0.49700684150513114,28064,0.006245742272774515,12634,0.474160255207356,26645,0.005690855311311891
LENOIR,LIB,136,0.004846066134549601,28064,0.006245742272774515,398,0.014937136423343968,26645,0.005690855311311891
LENOIR,REP,13980,0.4981470923603193,28064,0.006245742272774515,13613,0.5109026083693,26645,0.005690855311311891
LINCOLN,DEM,11024,0.300709219858156,36660,0.008158812418754052,9897,0.24945808337954328,39674,0.008473597058396997
LINCOLN,LIB,369,0.010065466448445172,36660,0.008158812418754052,971,0.024474466905278016,39674,0.008473597058396997
LINCOLN,REP,25267,0.6892253136933988,36660,0.008158812418754052,28806,0.7260674497151787,39674,0.008473597058396997
MACON,DEM,5712,0.3402430307362402,16788,0.003736228665740399,4876,0.27910704064109904,17470,0.0037312532290718235
MACON,LIB,241,0.014355492018108172,16788,0.003736228665740399,467,0.02673153978248426,17470,0.0037312532290718235
MACON,REP,10835,0.6454014772456517,16788,0.003736228665740399,12127,0.6941614195764167,17470,0.0037312532290718235
MADISON,DEM,4484,0.4454599642360421,10066,0.0022402238354385785,3926,0.355454956994115,11045,0.00235899781998273
MADISON,LIB,178,0.017683290284124777,10066,0.0022402238354385785,336,0.030421004979628793,11045,0.00235899781998273
MADISON,REP,5404,0.5368567454798331,10066,0.0022402238354385785,6783,0.6141240380262563,11045,0.00235899781998273
MARTIN,DEM,6583,0.5207245688973263,12642,0.0028135217293477556,5846,0.4909304669129997,11908,0.0025433178850479262
MARTIN,LIB,64,0.005062490112323999,12642,0.0028135217293477556,165,0.013856231105139402,11908,0.0025433178850479262
MARTIN,REP,5995,0.4742129409903496,12642,0.0028135217293477556,5897,0.4952133019818609,11908,0.0025433178850479262
MCDOWELL,DEM,6031,0.3346651129238111,18021,0.004010637168531554,4667,0.23773623350822679,19631,0.004192800923864279
MCDOWELL,LIB,215,0.011930525498030076,18021,0.004010637168531554,396,0.020172176659365288,19631,0.004192800923864279
MCDOWELL,REP,11775,0.6534043615781588,18021,0.004010637168531554,14568,0.742091589832408,19631,0.004192800923864279
