FID,OBJECTID,PERIMETER,CO_NAME,CO_ABBR,ACRES,Shape_Leng,Shape_Area,RO
72,72,167432.375,LENOIR,LENO,257265.828125,549317.74939,11206492142.2,WARO
73,73,280975.5625,CRAVEN,CRAV,493361.53125,921834.001043,21490814935.6,WARO
74,74,198550.5625,MACON,MACO,332573.15625,651411.315584,14486877792.6,ARO
75,75,186551.625,CHEROKEE,CHER,298867.15625,612044.822389,13018645188.3,ARO
76,76,180575.625,PAMLICO,PAML,359453.1875,592438.54375,15657771571,WARO
77,77,276210.75,SAMPSON,SAMP,605866.6875,906201.458017,26391537290.3,FRO
78,78,210419.75,CUMBERLAND,CUMB,421202.0625,690352.113095,18347550086.6,FRO
79,79,135734.390625,CLAY,CLAY,141328.875,445321.949299,6156281627.83,ARO
80,80,213300.140625,JONES,JONE,303755.78125,699802.184126,13231592702.4,WARO
81,81,314409.03125,CARTERET,CART,665408.8125,1031523.57983,28985190684.8,WIRO
82,82,177866.28125,UNION,UNIO,409365.1875,583549.613686,17831934809.2,MRO
83,83,175357.609375,ANSON,ANSO,343568.0625,575319.072076,14965815718.3,FRO
84,84,157539.84375,HOKE,HOKE,251090.390625,516861.987445,10937490488,FRO
85,85,203348.859375,DUPLIN,DUPL,524331.1875,667153.684941,22839852372.6,WIRO
86,86,204625.078125,RICHMOND,RICH,306894.1875,671340.740222,13368301395.4,FRO
87,87,149572.875,SCOTLAND,SCOT,205394.6875,490723.650263,8946986652.91,FRO
88,88,208858.4375,ONSLOW,ONSL,524462.1875,685229.69266,22845556882.3,WIRO
89,89,242923.859375,ROBESON,ROBE,608191.875,796992.700312,26492819607.5,FRO
90,90,256743.34375,BLADEN,BLAD,568139.5625,842332.12465,24748144468.1,FRO
91,91,248954.015625,PENDER,PEND,563448.6875,816776.620168,24543807558.4,WIRO
92,92,282840.125,COLUMBUS,COLU,610019.3125,927951.329661,26572423279.9,WIRO
93,93,157195.296875,NEW HANOVER,NEWH,140534.203125,515731.563093,6121666285.42,WIRO
94,94,264296.78125,BRUNSWICK,BRUN,573643.125,867113.772116,24987879023.4,WIRO
95,95,194665.46875,IREDELL,IRED,379626.1875,638664.962936,16635303647.9,MRO
96,96,172698.1875,ROWAN,ROWA,335082.46875,566593.969329,14596182633.3,MRO
97,97,138930.328125,LINCOLN,LINC,196551.21875,455807.279973,8561765841.58,MRO
98,98,192864.546875,MECKLENBURG,MECK,351606.4375,632756.423077,15217170486.4,MRO
99,99,133645.34375,CABARRUS,CABA,233367.0625,438468.114614,10165462414.9,MRO
100,100,151477.359375,GASTON,GAST,232694.484375,496971.956611,10136165636,MRO
