FID,OBJECTID,PERIMETER,CO_NAME,CO_ABBR,ACRES,Shape_Leng,Shape_Area,RO
1,1,156472.9844,ROCKINGHAM,ROCK,366053.0625,513361.7874,15945261643,WSRO
3,3,143114.5469,ALAMANCE,ALAM,278127.0313,469534.9866,12115206199,WSRO
91,91,248954.0156,PENDER,PEND,563448.6875,816776.6202,24543807558,WIRO
94,94,264296.7813,BRUNSWICK,BRUN,573643.125,867113.7721,24987879023,WIRO
